0.4074074030 0.5925925970
0.0010457319 0.0127851950 anh
0.0015144141 0.0130113065 tôi
0.0053100031 0.0001309563 ngươi
0.0004301941 0.0050144947 Tôi
0.0023764400 0.0068582460 những
0.0009420049 0.0049617353 ông
0.0223302378 0.0183503655 không
0.0037685654 0.0075596628 với
0.0019336895 0.0056603258 khi
0.0083183589 0.0046546005 cũng
0.0122553442 0.0086030734 nói
0.0004714119 0.0041171145 Anh
0.0040093212 0.0004263145 lão
0.0122553442 0.0087274348 người
0.0031710434 0.0000334457 Tiểu
0.0024001880 0.0052608621 con
0.0054393889 0.0081070412 cho
0.0026876210 0.0000904446 Thiên
0.0020262249 0.0046013700 đang
0.0000395800 0.0025993407 cậu
0.0037136993 0.0011658877 nhân
0.0024790751 0.0000004711 Quách
0.0038586441 0.0013877596 công
0.0029832429 0.0005294779 đại
0.0007558422 0.0031650906 nhà
0.0113283524 0.0136967072 của
0.0036997781 0.0060305835 mình
0.0043000298 0.0020693918 cười
0.0020835477 0.0000263797 Quân
0.0020677157 0.0000193137 Phương
0.0023073797 0.0003028953 kiếm
0.0019934690 0.0000131898 Hương
0.0019888286 0.0000098924 Phong
0.0034549278 0.0015399139 hắn
0.0022339519 0.0003316303 thủ
0.0019809126 0.0001097583 Lão
0.0019689021 0.0001196507 Đại
0.0056351054 0.0074564994 trong
0.0018045767 0.0000169584 Vương
0.0017742775 0.0000098924 Mai
0.0060680291 0.0043290941 thì
0.0017221410 0.0000164873 nương
0.0017109494 0.0000358010 Ngươi
0.0040076834 0.0056626811 làm
0.0017682723 0.0001158822 Hoàng
0.0017581725 0.0033921443 chúng
0.0024165660 0.0008587528 chết
0.0015837474 0.0000607675 Vân
0.0014969443 0.0000004711 Lân
0.0049554206 0.0034708123 còn
0.0014745611 0.0000056528 Lưu
0.0009321781 0.0023967824 điều
0.0009499209 0.0024000799 việc
0.0023535109 0.0009171650 thân
0.0009815849 0.0023901875 rằng
0.0032436522 0.0018569411 tiếng
0.0006783199 0.0020642100 phòng
0.0007307294 0.0021146141 chiếc
0.0014404404 0.0000748995 Thanh
0.0013544562 0.0000164873 Long
0.0014494482 0.0001215350 Hoa
0.0046325021 0.0033196002 chỉ
0.0096264109 0.0083378634 lại
0.0042451637 0.0029568796 hai
0.0012957685 0.0000263797 Tĩnh
0.0013091438 0.0000565279 Dương
0.0017614481 0.0005233540 chủ
0.0012346242 0.0000004711 Thạch
0.0000469501 0.0012775303 chị
0.0012256163 0.0000023553 Dao
0.0012627397 0.0000405117 huynh
0.0012283460 0.0000089502 Dung
0.0012125140 0.0000080081 Thất
0.0050094678 0.0061898037 đến
0.0012542777 0.0000833786 phu
0.0013948551 0.0025404575 các
